Entity_ID,Tx_Count,Address_Count,Total_Received,Total_Sent,Balance
Cluster_11,2,2,18.3295,18.4295,-0.10000000000000142
Cluster_85,1,1,0.00010432,0.0,0.00010432
Cluster_111,1,1,0.0,12.55343673,-12.55343673
Cluster_110,1,1,8.06876,0.0,8.06876
Cluster_108,1,1,0.0,9466.22517855,-9466.22517855
Cluster_107,1,1,195.76135743,0.0,195.76135743
Cluster_106,1,1,177.49527722,0.0,177.49527722
Cluster_105,1,1,0.0,373.25663465,-373.25663465
Cluster_104,1,1,94.0,0.0,94.0
Cluster_103,1,1,0.0,95.0,-95.0
Cluster_102,1,1,46.26,0.0,46.26
Cluster_101,1,1,55.86,0.0,55.86
Cluster_791,1,1,0.0,0.06324857,-0.06324857
Cluster_790,1,1,0.0041,0.0,0.0041
Cluster_1,1,2,0.0,2.05921368,-2.05921368
Cluster_98,1,1,0.0,2.19,-2.19
Cluster_771,1,1,1.0,0.0,1.0
Cluster_774,1,1,0.01906681,0.0,0.01906681
Cluster_776,1,1,0.0,0.71536941,-0.71536941
Cluster_777,1,1,0.56895895,0.0,0.56895895
Cluster_778,1,1,0.00470996,0.0,0.00470996
Cluster_779,1,1,0.00250424,0.0,0.00250424
Cluster_780,1,1,0.13790021,0.0,0.13790021
Cluster_781,1,1,0.00079605,0.0,0.00079605
Cluster_785,1,1,0.531,0.0,0.531
Cluster_786,1,1,0.13,0.0,0.13
Cluster_168,1,1,8.0,0.0,8.0
Cluster_169,1,1,1.0,0.0,1.0
Cluster_170,1,1,0.0,9.0,-9.0
Cluster_171,1,1,8.0,0.0,8.0
Cluster_143,1,1,40.0,0.0,40.0
Cluster_144,1,1,0.0,12.62960273,-12.62960273
Cluster_275,1,1,0.002,0.0,0.002
Cluster_276,1,1,0.0,3.96958635,-3.96958635
Cluster_278,1,1,0.5,0.0,0.5
Cluster_279,1,1,0.0,0.23312946,-0.23312946
Cluster_280,1,1,0.16849363,0.0,0.16849363
Cluster_281,1,1,0.06413583,0.0,0.06413583
Cluster_282,1,1,0.0,1.474776,-1.474776
Cluster_285,1,1,0.0,0.0354145,-0.0354145
Cluster_288,1,1,0.44778,0.0,0.44778
Cluster_260,1,1,0.0,0.14798296,-0.14798296
Cluster_261,1,1,0.14748295,0.0,0.14748295
Cluster_262,1,1,1e-08,0.0,1e-08
Cluster_263,1,1,0.0,29.8,-29.8
Cluster_264,1,1,29.5995,0.0,29.5995
Cluster_265,1,1,0.2,0.0,0.2
Cluster_266,1,1,0.0,11.8695,-11.8695
Cluster_252,1,1,0.5,0.0,0.5
Cluster_253,1,1,9.4995,0.0,9.4995
Cluster_254,1,1,0.5,0.0,0.5
Cluster_255,1,1,0.0,1.0,-1.0
Cluster_310,1,1,0.2,0.0,0.2
Cluster_312,1,1,0.5,0.0,0.5
Cluster_314,1,1,0.5,0.0,0.5
Cluster_316,1,1,0.5,0.0,0.5
Cluster_317,1,1,0.2,0.0,0.2
Cluster_29,1,2,0.0,63.19597494,-63.19597494
Cluster_290,1,1,0.5,0.0,0.5
Cluster_293,1,1,198.51,0.0,198.51
Cluster_295,1,1,0.2,0.0,0.2
Cluster_297,1,1,6.87963,0.0,6.87963
Cluster_299,1,1,0.5,0.0,0.5
Cluster_301,1,1,14.4782,0.0,14.4782
Cluster_329,1,1,1.0,0.0,1.0
Cluster_331,1,1,0.5,0.0,0.5
Cluster_303,1,1,21.0,0.0,21.0
Cluster_305,1,1,25.51,0.0,25.51
Cluster_306,1,1,0.0,22.770077,-22.770077
Cluster_308,1,1,0.01,0.0,0.01
Cluster_269,1,1,19.4995,0.0,19.4995
Cluster_270,1,1,0.5,0.0,0.5
Cluster_271,1,1,0.0,10.0,-10.0
Cluster_272,1,1,8.9995,0.0,8.9995
Cluster_273,1,1,1.0,0.0,1.0
Cluster_245,1,1,1.0,0.0,1.0
Cluster_246,1,1,3.4695,0.0,3.4695
Cluster_247,1,1,0.0,1.09389,-1.09389
Cluster_249,1,1,1e-06,0.0,1e-06
Cluster_251,1,1,14.4995,0.0,14.4995
Cluster_335,1,1,0.2,0.0,0.2
Cluster_336,1,1,0.2,0.0,0.2
Cluster_337,1,1,0.0,0.26905604,-0.26905604
Cluster_338,1,1,0.22270095,0.0,0.22270095
Cluster_339,1,1,0.04585509,0.0,0.04585509
Cluster_340,1,1,0.0,24.72591826,-24.72591826
Cluster_342,1,1,2.99915754,0.0,2.99915754
Cluster_344,1,1,0.01479824,0.0,0.01479824
Cluster_346,1,1,1.14788787,0.0,1.14788787
Cluster_318,1,1,0.0,0.08899978,-0.08899978
Cluster_319,1,1,0.08849977,0.0,0.08849977
Cluster_32,1,1,0.0,1.5139153699999999,-1.5139153699999999
Cluster_320,1,1,1e-08,0.0,1e-08
Cluster_323,1,1,0.2,0.0,0.2
Cluster_325,1,1,0.5,0.0,0.5
Cluster_327,1,1,0.5,0.0,0.5
Cluster_146,1,1,12.61920273,0.0,12.61920273
Cluster_147,1,1,0.01344,0.0,0.01344
Cluster_148,1,1,65.0,0.0,65.0
Cluster_149,1,1,35.5295,0.0,35.5295
Cluster_150,1,1,4.47,0.0,4.47
